Variation %,Prix Final,Payoff,Profit/Perte
-50%,$215.34,$215.34,$152.03
-45%,$236.87,$193.80,$130.49
-40%,$258.41,$172.27,$108.96
-35%,$279.94,$150.74,$87.42
-30%,$301.47,$129.20,$65.89
-25%,$323.01,$107.67,$44.36
-20%,$344.54,$86.14,$22.82
-15%,$366.08,$64.60,$1.29
-10%,$387.61,$43.07,$-20.25
-5%,$409.14,$21.53,$-41.78
0%,$430.68,$0.00,$-63.31
5%,$452.21,$21.53,$-41.78
10%,$473.74,$43.07,$-20.25
15%,$495.28,$64.60,$1.29
20%,$516.81,$86.14,$22.82
25%,$538.35,$107.67,$44.36
30%,$559.88,$129.20,$65.89
35%,$581.41,$150.74,$87.42
40%,$602.95,$172.27,$108.96
45%,$624.48,$193.80,$130.49
50%,$646.02,$215.34,$152.03
